t,x,flags
28165353,16776493,0
28166388,16776510,0
28167424,16776787,0
28168460,16776938,0
28169497,421,0
28170534,1161,0
28171570,1153,0
28172607,826,0
28173639,16777160,0
28174678,16775993,0
28175714,16775747,0
28176750,16775449,0
28177785,16775311,0
28178821,16774388,0
28179858,16774786,0
28180893,16775596,0
28181931,16775522,0
28182965,16776344,0
28184004,16776709,0
28185038,16777091,0
28186075,16776854,0
28187113,237,0
28188149,844,0
28189183,16777064,0
28190222,16776533,0
28191257,16776031,0
28192290,16776160,0
28193328,16775658,0
28194364,16775378,0
28195401,16774883,0
28196437,16774798,0
28197473,16775732,0
28198509,16776411,0
28199546,16776903,0
28200583,16777053,0
28201619,16776925,0
28202654,16777093,0
28203692,170,0
28204729,893,0
28205763,215,0
28206799,16776685,0
28207835,16776151,0
28208871,16775553,0
28209907,16775678,0
28210943,16775278,0
28211981,16775033,0
28213017,16775157,0
28214051,16775586,0
28215087,16775356,0
28216125,16776995,0
28217161,158,0
